stem,label
sistem informasi akademik siakad sistem informasi berfungsi menangani pengelolaan penyajian datadata akademik fakulta siakad dianggap pelayanan mahasiswa membutuhkan informasi akademik universita trunojoyo tersedia siakad databas terpusat sistem kelebihan perawatannya mudah membutuhkan biaya sistem berpotensi mengahadapi kendalakendala prose transaksi data padatnya jaringan databas siakad kelambatan pemrosesan respon queri data tersimpan pemrosesan komplek memiliki kelemahan ketersediaan data sistem pengembangan sistem databas sistem databas terdistribusi masingmas fakulta dijadikan solusi permasalahan basisdata terdistribusi keuntungan dimiliki basisdata terpusat pengawasan distribusi reabil avail kecepatan pemrosesan queri otonomi local,rpl
berjalannya koneksi jaringan komput lancar gangguan harapan penggunanyaterutama bertanggung bidang administr jaringan koneksijaringan berjalan lancar gangguan kenyataan lapangan jaringan komput skalabesar berpotensi gangguan kerusakan koneksi jaringan komputerh disebabkan banyaknya penggunaan padatnya traffic data jaringan komput sendirioleh menjaga meningkatkan kualita layanan koneksi jaringan aks kontroldan monitor level administr jaringan realtim berbasi mobil mengatur mengetahuiinformasi koneksi jaringan diaks saatpihak administr jaringan dituntut gangguan terputusnyakoneksi jaringan administr kontrol monitor sistem kontrol danmonitor berbasi mobil diharapkan membantu tuga administr mengontrol memantau jaringan sertadalam mengambil kebijakan node node terkoneksi jaringan memanajemen koneksi port bandwidthsetiap mobil pembenahan gangguan jaringan sebelumpemakai jaringan klien pengaduan gangguankata kunci administr jaringan koneksi jaringan aks kontrol monitor,rpl
web server perangkat lunak server berfungsimenerima permintaan http http web client danmengirimkan bentuk halamanhalaman web yangumumnya berbentuk dokumen html dokumen html dikirimmerupakan dokumen dibentuk bahasa markup plaintextartinya dokumen berisi kodekod html murni prose enkripsitujuan penelitan aplikasi proxyserv menerima permintaan http web client danmeneruskannya web server aplikasi menerimarespon server prose enkripsi dokumen htmlterlebih dokumen html dikirim webclient berbentuk dokumen html terenkripsi web clientdisini aplikasi internet explor mozilla firefoxatau opera aplikasiaplikasi diken sebutan webbrowserketika web browser menerima dokumen html terenkripsidari aplikasi proxi server javascript engin webbrows prose dekripsi render sehinggadokumen ditampilkan sesuai aslinya kodedari dokumen html menu view sourc yangada web browser didapatkan dokumen html tetapterenkripsi,rpl
seir perkembangan teknolog didunia muncul teknolog augment realiti augment realiti ar upaya menggabungkan dunia maya dunia virtual komput bata tipi headmount display hmd contoh hasil penelitian augment realiti satusatunya peralatan dasar teknologiteknolog terbaru seir berjalannya augment realiti berkembang pesat pengembangan aplikasi bidanguntuk mengembangkan ar librari pendukung flartoolkit salah satunya flartoolkit librari pendukung augment realiti platform flashberdasarkan sistem ar animasi benda bergerak animasi bergerak permainan pingpong dimana dikolaborasikan augment realiti menggerakkan langkah playernya interaksi obyek gerak bola dipukul obyek virtual ditampilkan augment realiti,komputasi
gerak pekerja game memiliki genr rt realtim strategi gerak pekerja memiliki gerak dibutuhkan pendekatan konsep ai mendesain perilaku pekerja perilaku karakt ditambahi ai artif inteleg perilakunya hidup realistisdalam penelitian ai finit state machin finit state machin menentukan gerak pekerja parameterparamet dasar gerak disimulasikan game rt game enginehasil peroleh penelitian penerapan metod finit state machin menentukan gerak pekerja berdasarkan paramet harta prajurit kondisi bangunan stockpil resourc bawa kunci game realtim strategi gerak pekerja finit state machin,komputasi
perkembangan game pesat altern peminatnya bentuk game cerita media penyajian keberadaan game menggambarkan budaya indonesia daerah kepulauan madura terhitung dirasa lunturnya kebudayaan indonesia anak bangsa peminat game sarana pengenalan budaya asli madura aplikasi game olahraga digemari pulau madura kerapan sapi dibangun aplikasi game kerapan sapi upaya pelestarian budaya bangsa pulau madura upaya pembuatan game budaya dibangun game perawatan sapi karapan metod logika fuzzi fuzzi logic menginputkan paramet kekuatan kesehatan sapi karapan menentukan harga jual sapi karapan game perawatan sapi karapankata kunci game kerapan sapi perawatan sapi kerapan budaya madura,komputasi
sistem pengenalan wajah sistem mengenali identita wajah manusia teknolog mengidentifikasi tubuh manusia unik wajah manusia khusu bidang identifikasi pengenalan wajah manusia memanfaatkan pengolahan analisi citra wajah berperan prose pengenalan wajah manusia sistem manfaatkan sistem keamanan bidang biometrika penelitian bangun perangkat lunak pengenalan citra wajah manusia metod two dimension linear discrimin analysi 2dlda menentukan karakteristik wajah manusia tahap pengklasifikasian metod angular separ mengukur kemiripan data pelatihan train data uji coba test prose test gambar wajah ketahui identita uji coba aplikasi klasifikasi angular separ peroleh akurasi pengenalan 945 pose citra wajah pelatihan pose citra wajah uji coba test data ratu citra wajah manusia ambil databas orl sepuluh eigenkata kunci sistem pengenalan wajah two dimension linear discrimin analysi angular separ,komputasi
teknolog mobil game beroper system open sourc berkembang pesat keragaman variasinya mobil game memiliki peminat kalangan dasar pengembang mengembangkan mobil game penelitian mobil game mengasah kemampuan berpikir dikembangkan mengimplementasikan algoritma prim depth first search pembuatannya algoritma prim diterapkan pembuatan lintasan maze algoritma depth first search diterapkan prose pencarian solusinyadari hasil pengujian disimpulkan algoritma prim depth first search berfungsi resolusi screen 320 kali 480 pixel pembentukan lintasan pencarian solusi mazekata kunci mobil game android algoritma prim algoritma depth first search,komputasi
kantor badan kepegawaian kota bangkalan instansi pemerintahan bergerak bidang pelayanan kepegawaian meningkatkan kualita pelayanan sistem informasi memonitor membantu prose kinerja dina penelitian dibaha menerapkan architectur enterpris bkd bangkalan menggunakkan metod togaf adm mengimplementa sikannya kedalam implementasi aplikasi enterpris dibentuk keterpaduan egovern bangkalan togaf adm memiliki komponen utama arsitektur bisni arsitektur data arsitektur teknolog arsitektur aplikasi intinya togaf architectur enterpris aspek penelitian dibaha perancangan sistem arsitektur sistem informasi bkd bangkalan subsistem egovern bangkalan togaf adm tujuannya menghasilkan sistem aplikasi administrasi kantor badan kepegawaian daerah bangkalan blue print memperbaiki efisiensi kenyamanan aksesibilita pelayanan publik kunci arsitektur interpris togaf adm arsitektur bisni arsitektur data arsitektur aplikasi arsitektur teknolog,rpl
penyusunan sistem informasi dina perindustrian perdagangan disperindag kabupaten bangkalan meningkatkan kualita pelayanan membantu prose kinerja dina salah faktor pendorong pemanfaatan sistem informasi meningkatnya kebutuhan fungsi pelayanan dijalankan tujuan penerapan arsitektur enterpris menciptakan keselarasan bisni teknolog informasi kebutuhan instansi penerapan arsitektur enterpris terlepa instansi merencanakan merancang arsitektur enterpris togaf adm metodolog lengkap instansi memahami tahapan tahapan metodolog diterjemahkan aktivita perancangan arsitektur enterpris tahapan perancangan arsitektur enterpris berlanjut tahapan rencana implementasi togaf adm memiliki komponen utama arsitektur bisni arsitektur data arsitektur teknolog arsitektur aplikasi intinya togaf arsitektur enterpris aspek menghasilkan model kerangka dasar mengembangkan sistem informasi terintegrasi mendukung kebutuhan dina perindustrian perdagangan sesuai peraturan bupati bangkalan nomor 38 2010 uraian tuga jabatan struktur dina perindustrian perdagangan,rpl
